,project,operational,city_AWTP,inland_coastal_40mi,state_region_provence,country,detail_PR_type,awtp_contains_RO,max_treatment_per_facility_RO,wwtp_effluent,advanced_treatment_detail_RO,upstream_RO,concentrate_treatment,RO_concentrate_management
1,TG Halli Reservoir Reuse Project,N,Bangalore,Inland,Karnataka,India,reservoir,N,NA,NA,NA,NA,NA,NA
2,Leon Municipal ERA Water Regeneration Station,N,Leon,Inland,Guanajuato,Mexico,reservoir,N,NA,NA,NA,NA,NA,NA
3,The City of Windhoek in Namibia,Y,Windhoek,Inland,Khomas,Namibia,treated water,N,NA,NA,NA,NA,NA,NA
4,Atlantis Water Resource Management Scheme,Y,Atlantis,Coastal,Western Cape,South Africa,groundwater,N,NA,NA,NA,NA,NA,NA
5,Maselspoort Water Reuse Project,N,Bloemfontein,Inland,Free State,South Africa,treated water,N,NA,NA,NA,NA,NA,NA
6,Cape Flats Managed Aquifer Recharge,N,Cape Town,Coastal,Western Cape,South Africa,groundwater,N,NA,NA,NA,NA,NA,NA
7,Langford Recycling Scheme,Y,Langford,Coastal,Essex,United Kingdom,reservoir,N,NA,NA,NA,NA,NA,NA
8,Airway Heights,Y,Airway Heights,Inland,WA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
9,Loudoun Water,Y,Ashburn,Coastal,VA,USA,raw water,N,NA,NA,NA,NA,NA,NA
10,Prairie Water Project Aurora,Y,Aurora,Inland,CO,USA,groundwater,N,NA,NA,NA,NA,NA,NA
11,Bartlesville Reuse,N,Bartlesville,Inland,OK,USA,reservoir,N,NA,NA,NA,NA,NA,NA
12,Gwinnett County,Y,Buford,Inland,GA,USA,reservoir,N,NA,NA,NA,NA,NA,NA
13,Castle Rock Water,Y,Castle Rock,Inland,CO,USA,raw water,N,NA,NA,NA,NA,NA,NA
14,Upper Occoquan Service Authority,Y,Centreville,Coastal,VA,USA,reservoir,N,NA,NA,NA,NA,NA,NA
15,Chino Basin Groundwater Recharge Project Inland Empire Utility Agency,Y,Chino,Coastal,CA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
16,Hueco Bolson Recharge Project El Paso Water Utilities,Y,El Paso,Inland,TX,USA,groundwater,N,NA,NA,NA,NA,NA,NA
17,City of Ephrata,Y,Ephrata,Inland,WA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
18,Tarrant Regional Water District,Y,Fort Worth,Inland,TX,USA,reservoir,N,NA,NA,NA,NA,NA,NA
19,LOTT Cleanwater Alliance Hawks Prairie Ponds,Y,Lacey,Inland,WA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
20,Clayton County Water Authority,Y,Morrow,Inland,GA,USA,reservoir,N,NA,NA,NA,NA,NA,NA
21,Grant County Quincy Ciity,Y,Quincy City,Inland,WA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
22,Grant County Royal City,Y,Royal City,Inland,WA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
23,East Valley Water District,Y,San Bernardino,Inland,CA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
24,Hampton Roads Sanitation District,Y,Suffolk,Coastal,VA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
25,City of Tenino Class A Reclaimed Water Facility,Y,Tenino,Inland,WA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
26,Wichita Falls Resource Recovery Facility Wichita Falls 2,Y,Wichita Falls,Inland,TX,USA,reservoir,N,NA,NA,NA,NA,NA,NA
27,North Texas Municial Water District East Fork Water Reuse Project,Y,Wylie,Inland,TX,USA,reservoir,N,NA,NA,NA,NA,NA,NA
28,Yelm Cochrane Memorial Park,Y,Yelm,Inland,WA,USA,groundwater,N,NA,NA,NA,NA,NA,NA
29,Palm Beach County RECAP,N,Palm Beach,Coastal,FL,USA,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"MF, RO, UV/AOP (unspecified)",MF,none reported,deep well injection
30,"Dominguez Gap Barrier Terminal Island, City of Los Angeles long Beach 3-4",Y,Los Angeles,Coastal,CA,USA,groundwater,Y,"tertiary, advanced, groundwater augmentation",tertiary,"MF, RO, UV/HOCl",MF,none reported,deep well injection; ocean discharge
31,Perth Groundwater Replenishment Scheme,Y,Perth,Coastal,Perth,Australia,groundwater,Y,"secondary, advanced, groundwater augmentation",secondary,"HOCl/NH4, UF, RO, UV",UF,neutralization tank (unspecified),ocean discharge
