"","city_AWTP","state_region_provence","country","inland_coastal_40mi","upstream_RO","concentrate_treatment","RO_concentrate_management"
"29","Palm Beach","FL","USA","Coastal","MF","none reported","deep well injection"
"30","Los Angeles","CA","USA","Coastal","MF","none reported","deep well injection; ocean discharge"
"31","Perth","Perth","Australia","Coastal","UF","neutralization tank (unspecified)","ocean discharge"
"32","Koksijde","West Flanders","Belgium","Coastal","UF, cartridge filtration","constructed wetland","ocean discharge"
"33","Singapore",NA,"Singapore","Coastal","MF","none reported","ocean discharge"
"35","Durban","KwaZulu-Natal","South Africa","Coastal","MBR","none reported","ocean discharge"
"36","Barcelona","Barcelona","Spain","Coastal","UF","none reported","ocean discharge"
"37","El Segundo","CA","USA","Coastal","MF","none reported","ocean discharge"
"41","Monterey","CA","USA","Coastal","membrane filtration (unspecified)","none reported","ocean discharge"
"43","Oceanside","CA","USA","Coastal","UF","none reported","ocean discharge"
"44","Oxnard","CA","USA","Coastal","MF","none reported","ocean discharge"
"45","Soquel","CA","USA","Coastal","MF","none reported","ocean discharge"
"46","Fountain Valley","CA","USA","Coastal","MF","conventional wastewater treatment","sewer discharge"
"47","Long Beach","CA","USA","Coastal","MF","conventional wastewater treatment","sewer discharge"
"48","Pico Rivera","CA","USA","Coastal","UF","conventional wastewater treatment","sewer discharge"
"49","San Diego","CA","USA","Coastal","UF","conventional wastewater treatment","sewer discharge"
"50","Santa Monica","CA","USA","Coastal","MBR, cartridge filtration","conventional wastewater treatment","sewer discharge"
"52","Santee","CA","USA","Coastal","membrane filtration (unspecified)","conventional wastewater treatment","sewer discharge"
"53","Barcelona","Barcelona","Spain","Coastal","UF","none reported","surface water discharge"
"54","Paranaque","National Capital","Philippines","Coastal","UF","unknown","unknown"
"55","Ballito","KwaZulu Natal","South Africa","Coastal","UF","water recovery; maturation pond","unknown"
"56","Jacksonville","FL","USA","Coastal","membrane filtration (unspecified)","unknown","unknown"
"51","Phoenix","AZ","USA","Inland","MBR","conventional wastewater treatment","sewer discharge"
"57","Scottsdale","AZ","USA","Inland","UF","conventional wastewater treatment","sewer discharge"
"42","Englewood","CO","USA","Inland","None","coagulation, MF, trickling filter","surface water discharge"
"38","Abilene","TX","USA","Inland","MBR","chlorination","surface water discharge"
"39","Big Spring","TX","USA","Inland","MF","none reported","surface water discharge"
"40","El Paso","TX","USA","Inland","membrane filtration (unspecified)","none reported","surface water discharge"
"34","Beaufort West","Western Cape","South Africa","Inland","UF","maturation pond","unknown"
